X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
120.544201777615	14.6770930397607	B04623LZ	Camacho Br.	Bagumbayan;Santa Rosa	Balanga;Pilar
120.515088184813	14.6336331552415	B00061LZ	Uyong Br.	Diwa	Pilar
120.538783365512	14.6873511165237	B01578LZ	Pangulisan Br.	Tuyo	Balanga
120.500722202734	14.7568381764533	B01701LZ	Calaguiman Br.	Calaguiman	Samal
120.411040832302	14.6140075817066	B00067LZ	Sinapsap Br.	A. Ricardo	Bagac
120.457996479829	14.4716940543601	B03396LZ	Biaan Br.	Biaan	Mariveles
120.535534332462	14.721274004707	B01565LZ	Abucay Br.	Wawa	Abucay
120.574006124088	14.6426046301027	B01583LZ	Calungusan Br. (box culvert)	Calungusan	Orion
120.521589832202	14.8121979149832	B01552LZ	Tapulao Br.	Tapulao	Orani
120.504978401079	14.7496463787966	B01703LZ	Ray Hill Br.	Mabatang	Abucay
120.38515633083	14.851715456203	B04726LZ	Pinulot Br.	Pinulot	Dinalupihan
120.584062393176	14.4539098433584	B01611LZ	Cabcaben Br. 2	Cabcaben	Mariveles
120.496678558491	14.4399577059959	B01445LZ	Luzon Br. 1	Malaya	Mariveles
120.54225709431	14.7670906314927	B04956LZ	Samal Br.	East Daang Bago	Samal
120.288575391812	14.6647171504106	B01574LZ	Bayan Dati Br.	Nagbalayong	Morong
120.373689846962	14.6360442963873	B01629LZ	Pauon Br.	Ulingan;Banawang	Bagac
120.349090675639	14.6568479996394	B01570LZ	Marocdoc Br.	Nagbalayong	Morong
120.503283490259	14.8319393768596	B01548LZ	Cataning Br. (box culvert)	Cataning	Hermosa
120.502377549708	14.4462532384253	B01590LZ	Paniquian Br.	Maligaya	Mariveles
120.559009958424	14.6649412162935	B01582LZ	Pilar Br.	Poblacion	Pilar
120.542210592911	14.7782771048566	B01556LZ	Lalawigan Br.	Lalawigan	Samal
120.493900730565	14.7760072962171	B00055LZ	Samal Br.	Imelda	Samal
120.557320963107	14.6236461029674	B01601LZ	San Vicente Br.	San Vicente	Orion
120.589656537846	14.4537389013342	B00079LZ	Cabcaben Br.	Cabcaben	Mariveles
120.406869528766	14.5161824018791	B04877LZ	Binuangan Br.	Binuangan	Bagac
120.542693247233	14.7537128698156	B01560LZ	Calaguiman Br.	Calaguiman	Samal
120.472079148901	14.852453859889	B01694LZ	Palihan Br. 1	Palihan	Hermosa
120.483446049791	14.4317060003399	B00082LZ	Pukot Br.	San Isidro	Mariveles
120.475509818649	14.8547043651957	B04622LZ	Layac Br. 2	Layac	Dinalupihan
120.539655370677	14.6805406284003	B02780LZ	Ibayo Br.	Ibayo	Balanga
120.517909374449	14.685625962877	B01594LZ	Tenejero Br. 1	Munting Batangas	Balanga
120.491450835209	14.7884412834086	B01698LZ	Orani Br. 1	Mulawin	Orani
120.45448907125	14.8664654889084	B04466LZ	Dila-Dila Br.	San Ramon	Dinalupihan
120.594728251936	14.4615599846803	B01609LZ	Amo Br.	Town Site	Mariveles
120.498326383651	14.4422682518428	B01616LZ	Hill top Br.	Malaya	Mariveles
